語言偵測: zh (機率: 1.00)
[94.00s -> 96.64s] 如果今天雙赫是這麼優秀的
[96.64s -> 97.22s] 一個東西
[97.22s -> 99.28s] 他的產品可以救到人
[99.28s -> 101.56s] 是不是值得他去分享給他朋友
[101.56s -> 103.18s] 他就努力去探討
[103.18s -> 105.92s] 探討之後發現雙赫不止產品優秀
[105.92s -> 108.90s] 甚至可以經營一個偉大的事業
[108.90s -> 110.72s] 那他在聊些的過程中
[110.72s -> 112.26s] 也幫助過很多人
[112.26s -> 114.30s] 那今天我們當然要用
[114.30s -> 118.70s] 大家在想要成功找到的經營們
[118.70s -> 121.36s] 那是因為你們最熱烈最歡迎的
[121.36s -> 122.64s] 掌聲歡呼
[122.64s -> 125.20s] 那我們來邀請這位接下來的營養者
[125.20s -> 126.78s] 來這風源的游泳針
[126.78s -> 127.62s] 游小姐
[133.04s -> 134.82s] 大家好 我是用真
[134.82s -> 136.90s] 那謝謝主持人介紹
[136.90s -> 139.08s] 就如同主持人所講的
[139.08s -> 140.24s] 那我一開始
[140.24s -> 142.50s] 我是一個結了婚之後
[142.50s -> 144.06s] 就是一個家庭祖父
[144.06s -> 144.94s] 孟營養阿婆
[144.94s -> 147.36s] 有人這次還坐不完的家事
[147.36s -> 148.88s] 那趕快說生活很飽
[148.88s -> 150.24s] 我很無趣
[150.24s -> 151.38s] 那個EDIQ的公務員
[151.38s -> 153.00s] 因為長大餅
[153.00s -> 155.88s] 要先生理拿捕
[155.88s -> 156.98s] 搞狀況的事業大陸
[156.98s -> 158.58s] 我的家庭
[158.58s -> 162.50s] 那一開始我們是先從場面開始接觸
[162.50s -> 163.70s] 他的群台都要主持人
[163.70s -> 164.76s] 告訴我鬼鬼鬼鬼
[164.76s -> 165.90s] 會有一個人有一個人機
[165.90s -> 167.14s] 這裡有個感控量
[167.14s -> 169.30s] 那要先生他們又來這麼說
[169.30s -> 171.16s] 這是可以做一個事業的
[171.16s -> 173.92s] 而且你只要在客廳展電視三家
[173.92s -> 175.84s] 越入百萬就可實現
[175.84s -> 178.00s] 因為一個工好令民眾都要倒住
[178.00s -> 179.66s] 因為當初我買寫工
[179.66s -> 181.32s] 你那都好我買寫寫工
[181.32s -> 182.22s] 沒出一
[182.22s -> 183.72s] 就好了 探取關節
[183.72s -> 184.84s] 按不顧高萬工
[184.84s -> 186.10s] 出去上班
[186.10s -> 187.96s] 給孟家庭的購貴喝水嘛
[187.96s -> 189.16s] 所以就放棄了
[189.16s -> 190.16s] 當大家要先生搞工
[190.16s -> 191.86s] 這些屬個這些機會是
[191.86s -> 193.14s] 那我就去瞭解
[193.14s -> 194.88s] 瞭解的之後才發現
[194.88s -> 196.34s] 他真的就是
[196.34s -> 197.48s] 我想要的生活
[197.48s -> 199.46s] 沒這麼多要倒住
[199.46s -> 201.12s] 給家屋加點基的過濃過
[201.12s -> 202.98s] 按額過過有過濃怕
[202.98s -> 204.62s] 那這麼棒的思願
[204.62s -> 206.78s] 那我今天就要來跟大家分享
[206.78s -> 209.32s] 那再分享思願之前
[209.32s -> 212.56s] 先來跟大家分享一個關鍵
[214.02s -> 214.82s] 多好
[215.50s -> 217.20s] 我曾經聽過於7A家
[217.20s -> 218.30s] 他說過去的話
[218.30s -> 220.00s] 誰來決定的人生
[220.00s -> 222.38s] 等待我後來就跟我一起說
[222.38s -> 223.26s] 我先來選工
[223.26s -> 223.92s] 我總來
[223.92s -> 225.32s] 媽媽可以選過這類不穩的
[225.32s -> 227.86s] 因為有求南基伯南基恩
[227.86s -> 229.10s] 他知道現在是說
[229.10s -> 230.02s] 你現在在新鮮的時候
[230.02s -> 231.12s] 爸爸媽媽趕快點
[231.12s -> 232.22s] 媽媽趕快點
[232.22s -> 232.84s] 他現在沒有個系統
[232.84s -> 233.96s] 媽媽趕快點出去喝
[234.38s -> 234.78s] 媽
[234.78s -> 235.00s] 媽媽
[235.00s -> 236.20s] 阿朵還要給阿嬤
[236.82s -> 237.68s] 阿朵很熬
[237.68s -> 238.12s] 阿嬤
[238.12s -> 239.12s] 給得很熬
[239.12s -> 240.56s] 阿嬤派我的生理水
[240.56s -> 241.28s] 給得很熬
[241.28s -> 242.04s] 你喜歡阿嬤
[242.04s -> 243.82s] 阿嬤過來讓阿嬤
[243.82s -> 245.18s] 而且他就不一樣了
[245.18s -> 246.14s] 像我兒子
[246.14s -> 248.16s] 他在國小六年級的時候
[248.16s -> 248.74s] 我就曾
[248.74s -> 249.92s] 我就跟他有一點
[249.92s -> 251.10s] 我就跟他聊天
[251.10s -> 252.00s] 我說弟弟
[252.00s -> 253.38s] 你那麼會話
[253.38s -> 254.72s] 要把你國中去
[254.72s -> 256.34s] 好美術搬給我
[257.10s -> 258.10s] 給花花花
[258.10s -> 258.94s] 我一趕快說
[258.94s -> 261.00s] 你希望我當花家嗎
[261.00s -> 263.18s] 如果可以的話也不錯
[263.18s -> 264.36s] 按不一趕快說
[264.36s -> 265.60s] 媽媽我把你貢了
[265.60s -> 266.16s] 花家
[266.16s -> 268.24s] 都要死後才成名
[268.24s -> 269.98s] 他的花才之前
[269.98s -> 270.56s] 阿嬤阿嬤
[270.56s -> 271.44s] 我還趕快喝的外家
[271.44s -> 272.08s] 說那年
[272.08s -> 272.76s] 我的家沒掉
[272.76s -> 273.78s] 你夠快就用了
[273.78s -> 274.24s] 疊我貢
[274.24s -> 274.58s] 弟弟
[274.58s -> 275.80s] 你夠毛力了
[275.80s -> 276.66s] 所以說他的人生
[276.66s -> 277.86s] 他自己決定
[277.86s -> 279.32s] 就像我們這些
[279.32s -> 282.36s] 我這個切價派也說過
[282.36s -> 283.00s] 真正決定
[283.00s -> 283.78s] 我們人生的
[283.78s -> 285.30s] 是我們這顆心
[285.30s -> 286.56s] 為什麼是我們的心
[286.56s -> 288.24s] 因為我們如果一個人
[288.24s -> 289.66s] 有了氣頭心之後
[289.66s -> 291.70s] 他會不斷地去寫找機會
[291.70s -> 293.96s] 當他遇到一個好的機會的時候
[293.96s -> 295.30s] 他僅已經抓住
[295.30s -> 296.62s] 然後去寫動
[296.62s -> 297.44s] 所以說
[297.44s -> 299.00s] 真正決定我們人生的
[299.00s -> 299.90s] 是我們的氣頭心
[299.90s -> 301.22s] 加上一個好的機會
[301.22s -> 303.58s] 然後去寫動
[303.58s -> 305.48s] 那當年有了氣頭心的時候
[305.48s -> 306.54s] 那重點來了
[306.54s -> 308.24s] 機會呢
[308.24s -> 309.92s] 你用什麼機會發生
[309.92s -> 311.36s] 可能弟弟都要靠了
[311.36s -> 312.08s] 點來丟著包
[312.08s -> 313.10s] 做這幾回
[313.10s -> 314.34s] 按鍋這些機會
[314.34s -> 316.10s] 你有好好的去瞭解
[316.10s -> 317.44s] 好好的掌握住嗎
[317.44s -> 318.18s] 所以說
[318.18s -> 320.92s] 這一身中你措施過什麼
[320.92s -> 322.00s] 那來公的機會
[322.00s -> 322.70s] 關心
[322.70s -> 323.88s] 像網友親
[323.88s -> 325.44s] 我們都知道他至小
[325.44s -> 327.64s] 生長在一個評估的家庭當中
[327.64s -> 329.04s] 因為剛剛我也先
[329.04s -> 330.52s] 我就頂緊在派表
[330.52s -> 332.82s] 他也很積極是在徐島集會
[332.82s -> 333.90s] 那當他遇到了
[333.90s -> 335.10s] 塑膠采業這個機會
[335.10s -> 336.60s] 他僅已經抓住了
[336.60s -> 338.08s] 那他犯生了
[338.08s -> 339.00s] 那張裝某
[339.00s -> 340.36s] 也因為半導體
[340.36s -> 341.78s] 當他犯生了
[341.78s -> 343.34s] 塑膠采業網友親的機會
[343.34s -> 344.26s] 那半導體
[344.26s -> 345.58s] 是張裝某機會
[345.58s -> 347.18s] 那你的機會呢
[347.18s -> 348.66s] 你的機會是什麼
[348.66s -> 350.80s] 這是你犯生的機會嗎
[350.80s -> 352.76s] 像一般我們社會型態
[352.76s -> 354.76s] 最基本的狀況
[354.76s -> 356.02s] 方式有兩種
[356.02s -> 357.08s] 一種就是上班
[357.08s -> 358.66s] 在一種就是做攝影
[358.66s -> 359.46s] 二拿上班
[360.62s -> 361.42s] 然後拿些攝影
[361.42s -> 363.48s] 高屁屋的無法犯增
[363.48s -> 364.88s] 請問到來跟後
[364.88s -> 366.72s] 問到趕快拿來想幫
[366.72s -> 367.64s] 一起提高一些
[367.64s -> 368.48s] 趕快找歸尼
[368.48s -> 370.10s] 這個叫做過
[370.10s -> 371.96s] 螢幕前的實際來說
[371.96s -> 373.32s] 也修理生沒辦法
[373.32s -> 375.24s] 阿姆姑來幾毀修給你
[375.24s -> 376.76s] 既有高溫到開箱
[376.76s -> 377.46s] 派鬼
[377.46s -> 379.38s] 阿姆娘被丟起鎮難了
[379.38s -> 380.22s] 所以說
[380.22s -> 381.70s] 隔行會被警察處
[381.70s -> 383.20s] 都靠沒劈臉
[383.20s -> 384.52s] 跟公行會變形
[384.52s -> 386.52s] 所以說想要靠上班
[386.52s -> 387.00s] 繁生
[387.00s -> 388.52s] 真的是很難
[388.52s -> 390.56s] 那再來是做攝影
[390.56s -> 391.66s] 做攝影有人
[391.66s -> 393.26s] 我讓他看他變鬼
[393.26s -> 394.22s] 相對的毛狼
[394.22s -> 395.30s] 弄他變鬼
[395.30s -> 397.56s] 那做攝影我又很生的體會
[397.56s -> 398.78s] 因為我從小生長
[398.78s -> 400.64s] 在一個做攝影的家庭當中
[400.64s -> 401.46s] 問爸爸媽媽
[401.46s -> 402.20s] 乾燥起白症
[402.20s -> 403.24s] 其家是可愛啊
[403.24s -> 403.52s] 剛好
[403.52s -> 404.92s] 等級醫後
[404.92s -> 407.18s] 是用他們狀的很多的錢
[407.18s -> 408.00s] 那這個
[408.46s -> 410.36s] 產業不能做多外移的
[410.36s -> 411.46s] 之後他們選擇說
[411.46s -> 412.94s] 把他收掉外折
[412.94s -> 415.30s] 阿公是在一東西探了情
[415.30s -> 416.64s] 如果說哪喝啊
[416.64s -> 417.36s] 秀條
[417.36s -> 419.66s] 真的是夠他們過後半輩子
[419.66s -> 420.94s] 暗孤類屬性等級
[420.94s -> 421.76s] 阿姆那類
[421.76s -> 422.92s] 當當印如鹽
[422.92s -> 423.52s] 各物節
[423.52s -> 424.12s] 細尊
[424.12s -> 425.24s] 免入的海系來吹
[425.24s -> 426.28s] 吹到住
[426.28s -> 427.30s] 當倒住上
[427.30s -> 429.56s] 我記得第一個投資
[429.56s -> 430.84s] 他們跟人家做
[430.84s -> 432.30s] 開那個餐廳
[432.30s -> 433.42s] 那也是開餐廳
[433.42s -> 434.28s] 幾個位的
[434.28s -> 435.38s] 我爸爸會玩了
[435.38s -> 436.94s] 結果不到一年
[436.94s -> 437.74s] 在鬼起來
[437.74s -> 439.14s] 補阿卡島有燈
[439.14s -> 440.46s] 剩下的就是那些東西
[440.46s -> 442.46s] 那他們沒有因此而做
[442.46s -> 443.06s] 爸
[443.06s -> 444.14s] 哪個酒一
[444.14s -> 445.12s] 竟然會
[445.12s -> 448.32s] 還有養那個什麼紅龍魚啊
[448.32s -> 449.70s] 還有養狗
[449.70s -> 451.06s] 坐上要掉瘦了
[451.06s -> 452.56s] 就蓋了我讓孤兒爸爸
[453.14s -> 454.52s] 溫某個不餓了
[454.52s -> 454.76s] 真的
[454.76s -> 455.78s] 溫某個變鬼
[455.78s -> 456.24s] 所以說
[456.24s -> 456.94s] 在他們身上
[456.94s -> 458.46s] 我看到他們做生意
[458.46s -> 459.78s] 探探變鬼細尊
[459.78s -> 461.16s] 某農革變鬼細尊
[461.16s -> 461.88s] 所以說
[461.88s -> 462.66s] 那想幫
[462.66s -> 464.64s] 都來公佩表現細尊
[464.64s -> 466.38s] 阿姆這行立的
[467.76s -> 468.90s] 緊甲某會來搬緊
[468.90s -> 469.92s] 阿姆會來大
[469.92s -> 470.88s] 那你會想說
[470.88s -> 472.02s] 這兩種方式不許
[472.02s -> 473.58s] 還有什麼方式有
[473.58s -> 474.12s] 目前
[474.58s -> 476.22s] 我們有一個很湯糖
[476.22s -> 478.34s] 因為就是加蒙展電
[478.34s -> 480.20s] 現在有很多的大企業
[480.20s -> 482.04s] 都用這個方式去賺錢
[482.04s -> 484.00s] 這名這條路是可行的
[484.00s -> 485.64s] 我就以一個很成功的例子
[485.64s -> 486.80s] 就是八熟多溪
[486.80s -> 488.50s] 來跟大家做分享
[488.50s -> 490.60s] 那八熟多溪的創辦人
[490.60s -> 491.34s] 五身學
[491.34s -> 492.82s] 他是一個沒有學歷
[492.82s -> 494.08s] 也沒有背景的人
[494.08s -> 495.94s] 但是他很有氣動心
[495.94s -> 497.06s] 因為他滿老的
[497.06s -> 499.12s] 所想的就是要如何脫皮
[499.12s -> 499.98s] 翻身
[499.98s -> 502.48s] 所以說他不斷地在尋找機會
[502.48s -> 504.92s] 當他看到了加蒙展電
[504.92s -> 506.24s] 這個上機的時候
[506.24s -> 508.38s] 他覺得這條路是可行的
[508.38s -> 509.92s] 他就往這個區塊不斷的
[509.92s -> 511.46s] 不斷地去撞野
[511.46s -> 513.38s] 等他累積了足夠的
[513.38s -> 513.96s] 經驗的時候
[513.96s -> 515.70s] 他創辦的八熟多溪
[515.70s -> 517.86s] 那他二零年四年
[517.86s -> 520.32s] 他用一千五百萬的資金創立
[521.22s -> 522.58s] 創立到上市
[522.58s -> 525.34s] 只花了短短六年四個月的時間
[526.00s -> 528.00s] 那二零一零年上市
[528.00s -> 530.64s] 他的四十就已經有兩百一所意了
[530.64s -> 531.46s] 這幾星期年前
[531.46s -> 533.10s] 今晚四十已經不止了
[533.10s -> 534.32s] 所以說投資
[534.32s -> 537.34s] 報仇率高達一千四百三三倍
[537.34s -> 539.80s] 那加蒙產業的報仇性成長
[539.80s -> 541.48s] 我一定是相當相當大
[541.48s -> 542.78s] 那五身學就是看中
[542.78s -> 544.08s] 這一點說說
[544.08s -> 548.06s] 他在台北的樂華醫院是成立他的第一件
[548.06s -> 548.66s] 公司
[548.66s -> 552.36s] 他第一年用一千五百萬的資金創立
[552.36s -> 555.20s] 第二年他就用三一色的中央出發
[555.20s -> 557.04s] 開放讓大家來加蒙
[557.04s -> 559.14s] 加蒙已經三百五十萬
[559.14s -> 560.50s] 而到目前為止
[560.50s -> 563.70s] 他的加蒙累積有四百多加了
[563.70s -> 566.18s] 那把數多溪給了我們
[566.18s -> 567.64s] 什麼起事
[567.64s -> 570.92s] 他的上機超大
[572.70s -> 575.64s] 目前他的市場僅次於十有而已
[575.64s -> 577.14s] 那競爭力得也強
[577.14s -> 579.34s] 因為評價咖啡人的合得起
[579.34s -> 581.40s] 好吃的蛋糕人人愛馬
[581.40s -> 582.96s] 還有自己的中央出發
[582.96s -> 584.74s] 但是投資也大
[584.74s -> 586.58s] 不是每個人都可以的
[586.58s -> 589.14s] 有定要趕快做成立總部
[589.14s -> 590.48s] 就要一千五百萬
[590.48s -> 592.18s] 那如果你要設立中央出發
[592.18s -> 593.04s] 還要三一
[593.04s -> 596.22s] 就算你要加蒙也要三百五十萬的
[596.22s -> 598.10s] 不是每個人都可以的
[598.10s -> 599.64s] 可以選擇阿諾公告這的數個
[599.64s -> 602.18s] 假年後我們目前為止的兩朵也是來的
[602.18s -> 602.92s] 那邊往
[602.92s -> 605.44s] 今天就是要來告訴你們一個
[605.44s -> 607.60s] 他的商機和競爭力絕對比
[607.60s -> 608.90s] 把手奪勢還要強
[608.90s -> 610.82s] 就是一個夢幻機會
[610.82s -> 611.84s] 這是怎樣
[611.84s -> 614.64s] 就是健康產業他的商機超大
[614.64s -> 616.98s] 只要是有生命的都需要
[616.98s -> 619.98s] 再來就是說他的競爭力也超強
[619.98s -> 622.46s] 因為他有市場很完整的健康的視頻
[622.46s -> 623.26s] 認證
[623.26s -> 625.20s] 再來投資超小
[625.20s -> 628.14s] 小到頓也不會造成任何的影響
[629.38s -> 629.78s] 那
[629.78s -> 631.72s] 健康產業為什麼他的商機超大
[631.72s -> 634.52s] 因為現在的我們並越來越多
[634.52s -> 636.56s] 所以打給用開心注重更高
[636.56s -> 637.22s] 馬龍也記錄了
[637.22s -> 638.24s] 搞成就關民家公
[638.24s -> 639.18s] 而且快要過行
[639.18s -> 640.34s] 可以冒假冒過行
[640.34s -> 643.90s] 所以說相對的市場的需求量也就大
[643.90s -> 645.38s] 那什麼是健康視頻
[645.38s -> 647.28s] 像我們一般的視頻
[647.28s -> 648.54s] 他有安全性
[648.54s -> 650.20s] 按顧一部供效性
[650.20s -> 651.98s] 那要品內有供效
[651.98s -> 654.42s] 按顧一部按轉有護作用
[654.42s -> 656.16s] 那很為健康視頻
[656.16s -> 656.80s] 都是供
[656.80s -> 658.72s] 他有視頻的安全性
[658.72s -> 659.52s] 又有供
[659.52s -> 661.12s] 又有要品的供效性
[661.12s -> 662.28s] 都是供下
[662.28s -> 663.24s] 累5號
[663.24s -> 664.58s] 各部護作用
[664.58s -> 666.58s] 那保健視頻的兩大
[666.58s -> 667.72s] 關鍵探討件
[667.72s -> 669.50s] 第一個他的安全性
[669.50s -> 671.92s] 那再來他的供效性
[671.92s -> 674.16s] 那這樣也算保健視頻嗎
[674.16s -> 674.62s] 另外
[674.62s -> 676.58s] 如果看民家為5號
[676.58s -> 677.34s] 某安轉
[677.34s -> 678.06s] 下面5號
[678.06s -> 678.68s] 往轉
[678.68s -> 679.96s] 特別是說那在假值
[679.96s -> 681.06s] 通常要假來補拿著
[681.06s -> 681.84s] 讓他高天啊
[681.84s -> 682.82s] 給你打架了
[682.82s -> 684.04s] 那就不會痛了
[684.04s -> 685.14s] 可是呢
[685.14s -> 686.80s] 兇刮兇有機啊
[686.80s -> 687.30s] 不安轉
[687.30s -> 688.74s] 那再來就是安全
[688.74s -> 689.64s] 五下
[689.64s -> 690.94s] 敏家加了安轉
[690.94s -> 692.52s] 按顧一部消費效果
[692.52s -> 694.28s] 他的假也罷了那樣
[694.28s -> 695.28s] 想通貨的時供
[695.28s -> 696.78s] 這樣敏家補好
[696.78s -> 697.34s] 假來
[697.34s -> 698.02s] 不安轉
[698.02s -> 698.72s] 各位熊心
[698.72s -> 699.90s] 因為我應該在我
[699.90s -> 700.34s] 我講的
[700.34s -> 701.52s] 我剛剛跟他
[701.52s -> 703.78s] 阿公以前的時候
[703.78s -> 705.10s] 不管什麼病
[705.10s -> 705.56s] 的時供
[705.56s -> 706.88s] 因為你特別是要幫他
[706.88s -> 707.76s] 還提一下沒有
[707.76s -> 708.34s] 偶有玩
[708.34s -> 709.32s] 阿公是沒密放
[709.32s -> 711.16s] 不知道那到底是什麼成分
[711.16s -> 711.98s] 就不可能
[711.98s -> 713.66s] 那報道條馬甲來討厭馬甲
[713.66s -> 714.72s] 還來講到不一樣
[714.72s -> 715.70s] 器官刷一截
[715.70s -> 716.80s] 阿馬甲來燈鐵
[716.80s -> 718.70s] 所以公平的血壓力的安轉不好
[722.02s -> 723.40s] 那一般的人
[723.40s -> 724.90s] 我們在選擇保健視頻
[724.90s -> 725.52s] 打給阿拉斯
[725.52s -> 726.24s] 一般的人
[726.24s -> 726.98s] 他都用
[726.98s -> 730.36s] 絕大部分的人都是靠廣告無遇宣
[730.36s -> 731.50s] 那廣告無遇宣的
[731.50s -> 732.26s] 美少林在生
[732.26s -> 733.20s] 惡努盤
[733.20s -> 734.14s] 趕困的
[734.14s -> 735.92s] 以及請到了一波打擊
[735.92s -> 737.00s] 奧基省來動了
[737.00s -> 737.44s] 來為
[737.44s -> 738.46s] 那不一定啊
[738.46s -> 739.06s] 所以說
[739.06s -> 741.24s] 不要拿自己的生命開玩笑
[741.24s -> 743.68s] 那許多的產品視頻
[743.68s -> 745.12s] 他都誇大了笑
[745.12s -> 748.66s] 真正能分辨得不到一層
[748.66s -> 749.80s] 那再來一款
[749.80s -> 751.50s] 賣尾健康視頻
[751.50s -> 752.16s] 兩年
[752.16s -> 753.02s] 暴力散意
[753.02s -> 756.48s] 加民給阿龍某經過衛生署的認證
[756.48s -> 758.40s] 還還有需要成分
[758.40s -> 759.10s] 不等部長
[759.10s -> 759.86s] 也等待
[759.86s -> 761.32s] 代謝帶著你共提供
[761.32s -> 762.74s] 你只要讓他等了一期
[762.74s -> 763.10s] 一種
[763.10s -> 763.98s] 對不會放一所
[763.98s -> 765.00s] 一種自己改頂頂
[765.00s -> 766.60s] 應該禮貴危機
[766.60s -> 766.78s] 阿
[766.78s -> 767.32s] 一款
[767.32s -> 768.82s] 那國隱失業台堂
[770.06s -> 771.80s] 也建訴堂公用
[771.80s -> 773.14s] 效母反應做的
[773.14s -> 773.88s] 事料下去做
[773.88s -> 774.58s] 各個獵人
[774.58s -> 775.78s] 馬達華麗加巴黎
[775.78s -> 777.06s] 立況
[777.06s -> 778.08s] 再來就是
[778.08s -> 778.50s] 你看
[778.50s -> 779.18s] 在
[779.18s -> 780.38s] 有一段期間
[780.38s -> 781.12s] 上市期間
[781.12s -> 782.20s] 那有一些
[782.20s -> 782.34s] 國
[782.34s -> 783.16s] 那個
[783.16s -> 784.72s] 這些都是股票上市的
[784.72s -> 785.46s] 什麼同意的
[785.46s -> 786.00s] 不擔網
[786.00s -> 787.18s] 兩號來動
[787.18s -> 788.24s] 馬龍偶爾圈成僚
[788.24s -> 789.16s] 需要被抓到
[789.16s -> 790.54s] 有兩百多個業者
[790.54s -> 791.46s] 被罰
[791.46s -> 793.02s] 那這些都是
[793.02s -> 794.70s] 這些都是非常有名的
[794.70s -> 795.08s] 龍偶爾
[795.08s -> 795.72s] 供偶爾
[795.72s -> 796.32s] 一樓
[796.32s -> 796.94s] 所以龍共獵
[797.80s -> 799.56s] 保健食品的兩大
[799.56s -> 800.72s] 關鍵條件
[800.72s -> 801.74s] 他的愛權性
[803.38s -> 804.26s] 被罰
[804.26s -> 805.74s] 供也做
[806.38s -> 807.28s] 供也做好
[807.28s -> 808.44s] 暗規模工
[808.44s -> 809.48s] 以無
[809.48s -> 810.40s] 互作用
[810.40s -> 811.42s] 那供效性
[811.42s -> 812.40s] 誇大不死
[812.40s -> 812.84s] 龍偶爾
[812.84s -> 813.64s] 供偶爾
[813.64s -> 814.56s] 供偶爾不會聽
[814.56s -> 815.56s] 也正得
[815.56s -> 816.52s] 那所以說
[816.52s -> 819.02s] 市面上的產品那麼多
[819.02s -> 820.12s] 所以說
[820.12s -> 822.20s] 這兩種次出的問題
[822.20s -> 822.56s] 所謂
[822.56s -> 823.70s] 當行政院衛生署
[823.70s -> 825.64s] 就成立一個健康食品法
[825.64s -> 826.76s] 把市面的產品
[826.76s -> 828.50s] 市面上的產品做一個規範
[828.50s -> 830.10s] 只要你送審
[830.10s -> 831.48s] 通過嚴格檢測
[831.48s -> 832.24s] 一的辦法
[832.24s -> 834.78s] 健康食品認證給你
[834.78s -> 835.10s] 那
[835.10s -> 835.70s] 我們
[836.36s -> 836.80s] 如果
[836.80s -> 838.78s] 你沒有健康食品認證
[838.78s -> 839.44s] 你出去哪
[839.44s -> 840.22s] 可以供列明天
[840.22s -> 840.96s] 5號
[840.96s -> 843.30s] 第二個喜愛華莎尼
[843.30s -> 844.18s] 愛華莎尼
[844.18s -> 845.30s] 華吉爸爸
[845.30s -> 845.98s] 而且
[845.98s -> 847.14s] 總共列明日
[847.14s -> 848.14s] 大概供列明天
[848.14s -> 848.54s] 這個好
[848.54s -> 850.16s] 暗規模的健康食品認證
[850.16s -> 850.88s] 你哪個努力
[850.88s -> 851.56s] 可以檢舉
[851.56s -> 853.46s] 你還有講健康食品
[853.46s -> 855.58s] 那健康食品認證要怎麼取得
[855.58s -> 858.42s] 第一個他要經過安全食驗的
[858.42s -> 860.42s] 就是亞吉獨信的測試
[860.42s -> 861.58s] 剛剛公的西公
[861.58s -> 862.56s] 雷蘭姐雷蘭的
[862.56s -> 863.30s] 找公經
[863.30s -> 864.78s] 即剛講西巴倆
[864.78s -> 866.22s] 認證要講薩尼
[866.22s -> 867.30s] 在你身上的
[867.30s -> 868.12s] 我生物
[868.12s -> 868.92s] 基因
[868.92s -> 869.52s] 細胞
[869.52s -> 871.28s] 完全沒有眾讀的反應
[871.28s -> 873.48s] 那在就是要供效食驗
[873.48s -> 874.58s] 還有我生署
[874.58s -> 875.48s] 書面省
[875.48s -> 875.88s] 何
[875.88s -> 877.38s] 在就是審議會
[877.38s -> 878.20s] 委員會的省
[878.20s -> 879.20s] 而這些
[879.20s -> 880.58s] 要經過
[880.58s -> 882.38s] 一屆藥界食品一樣
[882.38s -> 884.52s] 12個人以上的供視覺
[884.52s -> 886.02s] 要拿到供視覺
[886.02s -> 886.88s] 是不簡單的
[886.88s -> 888.44s] 提供少數復總共書
[888.44s -> 889.66s] 因為他們每一個人
[889.66s -> 891.56s] 都是來自不同的領域
[891.56s -> 894.16s] 所以說要有相同的想法
[894.16s -> 896.26s] 看法是非常非常不簡單
[896.26s -> 898.74s] 所以說要拿到健康食品認證
[898.74s -> 901.44s] 是必須經過千尋百鏈的
[901.44s -> 903.28s] 那我們雙二級品認證拿到了
[903.28s -> 904.28s] 全國第一章
[904.28s -> 906.54s] 免疫條結構效的認證
[906.54s -> 909.00s] 我們的品系非常非常的完整
[909.00s -> 910.18s] 剛剛公的西公
[910.18s -> 911.84s] 價明給他價位
[911.84s -> 912.84s] 讓你形成一個
[912.89s -> 914.59s] 不容易生病的提供
[914.59s -> 917.51s] 即使生病的也很快就回覆了
[917.51s -> 918.69s] 只要是免疫力
[918.69s -> 920.01s] 免疫系統的問題
[920.01s -> 923.17s] 加上那一屆品認證效果是相當的
[923.17s -> 924.19s] 那我就講一個例子
[924.19s -> 925.59s] 就是我妹妹
[925.59s -> 927.03s] 他在幾年前
[927.03s -> 928.63s] 他就
[928.63s -> 930.93s] 毫無預警的起床摩底的地方
[931.39s -> 931.81s] 那
